"ID","NAME","STATUS","PREFIXES AS URL","PREFIXES AS LRU","HOME PAGE","START PAGES","CRAWLED","CRAWLING STATUS","INDEXING STATUS","INDEGREE","OUTDEGREE","NEIGHBOORS COUNT","TOTAL KNOWN PAGES","CRAWLED PAGES","CREATION TIMESTAMP","CREATION DATE","LAST MODIFICATION TIMESTAMP","LAST MODIFICATION DATE","total_tweets (TAGS)","twitter_score (TAGS)","total_twitter_users (TAGS)","FREETAGS (TAGS)","uncrawlable (TAGS)","createdBy (TECHNICAL INFO)","mergedWebEntities (TECHNICAL INFO)"
"11","Nouvelobs.com","IN","http://nouvelobs.com http://www.nouvelobs.com https://nouvelobs.com https://www.nouvelobs.com","s:https|h:com|h:nouvelobs| s:https|h:com|h:nouvelobs|h:www| s:http|h:com|h:nouvelobs| s:http|h:com|h:nouvelobs|h:www|","https://nouvelobs.com","https://nouvelobs.com","true","FINISHED","FINISHED","221","573","760","7883","5701","1689961645808","2023-07-21T17:47:25.808Z","1689963859062","2023-07-21T18:24:19.062Z","721588","8,550986452","354158","","","user via lru",""
"12","Marianne.net","IN","http://marianne.net http://www.marianne.net https://marianne.net https://www.marianne.net","s:https|h:net|h:marianne| s:https|h:net|h:marianne|h:www| s:http|h:net|h:marianne| s:http|h:net|h:marianne|h:www|","https://marianne.net","https://marianne.net","true","FINISHED","FINISHED","179","742","894","11016","9803","1689961645992","2023-07-21T17:47:25.992Z","1689963858980","2023-07-21T18:24:18.980Z","773339","8,296187443","329846","","","user via lru",""
"13","Tf1Info.fr","IN","http://lci.fr http://tf1info.fr http://www.lci.fr http://www.tf1info.fr https://lci.fr https://tf1info.fr https://www.tf1info.fr","s:https|h:fr|h:lci| s:https|h:fr|h:tf1info| s:https|h:fr|h:tf1info|h:www| s:http|h:fr|h:lci| s:http|h:fr|h:lci|h:www| s:http|h:fr|h:tf1info| s:http|h:fr|h:tf1info|h:www|","https://tf1info.fr","https://lci.fr https://lci.fr https://tf1info.fr","true","FINISHED","FINISHED","241","1483","1666","10035","8871","1689961646170","2023-07-21T17:47:26.170Z","1693243323443","2023-08-28T17:22:03.443Z","15502|765309","0,216602854|8,292365262","10412|321328","","","user via lru","279: Lci.fr (IN)"
"14","Lesechos.fr","IN","http://lesechos.fr http://www.lesechos.fr https://lesechos.fr https://www.lesechos.fr","s:https|h:fr|h:lesechos| s:https|h:fr|h:lesechos|h:www| s:http|h:fr|h:lesechos| s:http|h:fr|h:lesechos|h:www|","https://lesechos.fr","https://lesechos.fr","true","FINISHED","FINISHED","324","661","974","8773","5179","1689961646543","2023-07-21T17:47:26.543Z","1689963858711","2023-07-21T18:24:18.711Z","719888","8,073565735","320008","","","user via lru",""
"15","Huffingtonpost.fr","IN","http://huffingtonpost.fr http://www.huffingtonpost.fr https://huffingtonpost.fr https://www.huffingtonpost.fr","s:https|h:fr|h:huffingtonpost| s:https|h:fr|h:huffingtonpost|h:www| s:http|h:fr|h:huffingtonpost| s:http|h:fr|h:huffingtonpost|h:www|","https://huffingtonpost.fr","https://huffingtonpost.fr","true","FINISHED","FINISHED","223","925","1100","4708","2967","1689961646751","2023-07-21T17:47:26.751Z","1689963858670","2023-07-21T18:24:18.670Z","690762","7,987051439","324539","","","user via lru",""
"16","Lejdd.fr","IN","http://lejdd.fr http://www.lejdd.fr https://lejdd.fr https://www.lejdd.fr","s:https|h:fr|h:lejdd| s:https|h:fr|h:lejdd|h:www| s:http|h:fr|h:lejdd| s:http|h:fr|h:lejdd|h:www|","https://lejdd.fr","https://lejdd.fr","true","FINISHED","FINISHED","242","300","514","2528","1351","1689961646919","2023-07-21T17:47:26.919Z","1689963854149","2023-07-21T18:24:14.149Z","609023","7,196939862","292787","","","user via lru",""
"17","Francebleu.fr","IN","http://francebleu.fr http://radiofrance.fr/francebleu http://www.francebleu.fr http://www.radiofrance.fr/francebleu https://francebleu.fr https://radiofrance.fr/francebleu https://www.francebleu.fr https://www.radiofrance.fr/francebleu","s:https|h:fr|h:francebleu| s:https|h:fr|h:francebleu|h:www| s:https|h:fr|h:radiofrance|h:www|p:francebleu| s:https|h:fr|h:radiofrance|p:francebleu| s:http|h:fr|h:francebleu| s:http|h:fr|h:francebleu|h:www| s:http|h:fr|h:radiofrance|h:www|p:francebleu| s:http|h:fr|h:radiofrance|p:francebleu|","https://francebleu.fr","https://francebleu.fr https://www.radiofrance.fr/francebleu","true","FINISHED","FINISHED","301","1395","1674","47072","45452","1689961647100","2023-07-21T17:47:27.100Z","1693240653851","2023-08-28T16:37:33.851Z","655826","7,095155459","276819","","","user via lru","249135: Radiofrance.fr /francebleu (IN)"
"18","Valeursactuelles.com","IN","http://valeursactuelles.com http://www.valeursactuelles.com https://valeursactuelles.com https://www.valeursactuelles.com","s:https|h:com|h:valeursactuelles| s:https|h:com|h:valeursactuelles|h:www| s:http|h:com|h:valeursactuelles| s:http|h:com|h:valeursactuelles|h:www|","https://valeursactuelles.com","https://valeursactuelles.com","true","FINISHED","FINISHED","101","151","248","1395","631","1689961647279","2023-07-21T17:47:27.279Z","1689963805932","2023-07-21T18:23:25.932Z","894185","6,839058514","224220","","","user via lru",""
"19","Cnews.fr","IN","http://cnews.fr http://www.cnews.fr https://cnews.fr https://www.cnews.fr","s:https|h:fr|h:cnews| s:https|h:fr|h:cnews|h:www| s:http|h:fr|h:cnews| s:http|h:fr|h:cnews|h:www|","https://cnews.fr","https://cnews.fr","true","FINISHED","FINISHED","168","458","612","1652","964","1689961647461","2023-07-21T17:47:27.461Z","1689963795512","2023-07-21T18:23:15.512Z","687555","6,406313441","232919","","","user via lru",""
"20","Limportant.fr","IN","http://limportant.fr http://www.limportant.fr https://limportant.fr https://www.limportant.fr","s:https|h:fr|h:limportant| s:https|h:fr|h:limportant|h:www| s:http|h:fr|h:limportant| s:http|h:fr|h:limportant|h:www|","https://limportant.fr","https://limportant.fr","true","FINISHED","FINISHED","8","771","779","5190","5176","1689961647655","2023-07-21T17:47:27.655Z","1689963788106","2023-07-21T18:23:08.106Z","576695","6,253397511","242884","","","user via lru",""
