webentity_id,name,prefixes,home_page,start_pages,indegree,hyphe_creation_timestamp,hyphe_last_modification_timestamp,outreach,foundation_year,batch,edito,parody,origin,digital_native,mediacloud_ids,wheel_category,wheel_subcategory,has_paywall,inactive
1,Acrimed.org,http://acrimed.org|http://acrimed69.blogspot.com|http://acrimed69.blogspot.fr|http://facebook.com/Acrimed-Action-Critique-M%C3%A9dias-94089796249|http://twitter.com/acrimed_info|http://www.acrimed.org|http://www.acrimed69.blogspot.fr|http://www.facebook.com/Acrimed-Action-Critique-M%C3%A9dias-94089796249|http://www.twitter.com/acrimed_info|https://acrimed.org|https://acrimed69.blogspot.com|https://acrimed69.blogspot.fr|https://facebook.com/Acrimed-Action-Critique-M%C3%A9dias-94089796249|https://twitter.com/acrimed_info|https://www.acrimed.org|https://www.acrimed69.blogspot.com|https://www.facebook.com/Acrimed-Action-Critique-M%C3%A9dias-94089796249|https://www.twitter.com/acrimed_info,http://www.acrimed.org,http://acrimed.org|http://acrimed69.blogspot.com|http://acrimed69.blogspot.fr|http://facebook.com/Acrimed-Action-Critique-M%C3%A9dias-94089796249|http://twitter.com/acrimed_info|http://www.acrimed.org|http://www.acrimed69.blogspot.fr|http://www.facebook.com/Acrimed-Action-Critique-M%C3%A9dias-94089796249|http://www.twitter.com/acrimed_info|https://acrimed.org|https://acrimed69.blogspot.com|https://acrimed69.blogspot.fr|https://facebook.com/Acrimed-Action-Critique-M%C3%A9dias-94089796249|https://twitter.com/acrimed_info|https://www.acrimed.org|https://www.acrimed69.blogspot.com|https://www.facebook.com/Acrimed-Action-Critique-M%C3%A9dias-94089796249|https://www.twitter.com/acrimed_info,61,1560347020330,1560526005389,nationale,2002,1,media,false,france,true,258269,Opinion Journalism,Left Wing,false,
2,24matins.fr,http://24matins.fr|http://facebook.com/24matins-517142942029000|http://twitter.com/24matins|http://www.24matins.fr|http://www.facebook.com/24matins-517142942029000|http://www.twitter.com/24matins|https://24matins.fr|https://facebook.com/24matins-517142942029000|https://twitter.com/24matins|https://www.24matins.fr|https://www.facebook.com/24matins-517142942029000|https://www.twitter.com/24matins,https://www.24matins.fr,http://24matins.fr|http://facebook.com/24matins-517142942029000|http://twitter.com/24matins|http://www.24matins.fr|http://www.facebook.com/24matins-517142942029000|http://www.twitter.com/24matins|https://24matins.fr|https://facebook.com/24matins-517142942029000|https://twitter.com/24matins|https://www.24matins.fr|https://www.facebook.com/24matins-517142942029000|https://www.twitter.com/24matins,34,1560347020795,1560525978938,nationale,2006,1,media,false,france,true,330538,Periphery,PQR & Mag,false,
3,Actumag.info,http://actumag.info|http://www.actumag.info|https://actumag.info|https://www.actumag.info,https://actumag.info/,http://actumag.info|http://www.actumag.info|https://actumag.info|https://www.actumag.info,0,1560347021245,1560353696803,nationale,2013,1,plateforme,false,france,true,565962,,,false,
4,2012un-Nouveau-Paradigme.com,http://2012un-nouveau-paradigme.com|http://facebook.com/2012unnouveauparadigme|http://twitter.com/LNParadigme|http://www.2012un-nouveau-paradigme.com|http://www.facebook.com/2012unnouveauparadigme|http://www.twitter.com/LNParadigme|https://2012un-nouveau-paradigme.com|https://facebook.com/2012unnouveauparadigme|https://twitter.com/LNParadigme|https://www.2012un-nouveau-paradigme.com|https://www.facebook.com/2012unnouveauparadigme|https://www.twitter.com/LNParadigme,http://www.2012un-nouveau-paradigme.com,http://2012un-nouveau-paradigme.com|http://facebook.com/2012unnouveauparadigme|http://twitter.com/LNParadigme|http://www.2012un-nouveau-paradigme.com|http://www.facebook.com/2012unnouveauparadigme|http://www.twitter.com/LNParadigme|https://2012un-nouveau-paradigme.com|https://facebook.com/2012unnouveauparadigme|https://twitter.com/LNParadigme|https://www.2012un-nouveau-paradigme.com|https://www.facebook.com/2012unnouveauparadigme|https://www.twitter.com/LNParadigme,30,1560347021631,1560353696857,nationale,2012,1,media,false,france,true,282393,Counter-Informational Space,Alternative Health,false,
5,24heuresactu.com,http://24heuresactu.com|http://facebook.com/24heures-Actu-1902793710007563|http://twitter.com/24Heures_Actu|http://twitter.com/24heuresactu|http://www.24heuresactu.com|http://www.facebook.com/24heures-Actu-1902793710007563|http://www.twitter.com/24Heures_Actu|http://www.twitter.com/24heuresactu|https://24heuresactu.com|https://facebook.com/24heures-Actu-1902793710007563|https://twitter.com/24Heures_Actu|https://twitter.com/24heuresactu|https://www.24heuresactu.com|https://www.facebook.com/24heures-Actu-1902793710007563|https://www.twitter.com/24Heures_Actu|https://www.twitter.com/24heuresactu,http://24heuresactu.com/,http://24heuresactu.com|http://facebook.com/24heures-Actu-1902793710007563|http://twitter.com/24Heures_Actu|http://twitter.com/24heuresactu|http://www.24heuresactu.com|http://www.facebook.com/24heures-Actu-1902793710007563|http://www.twitter.com/24Heures_Actu|http://www.twitter.com/24heuresactu|https://24heuresactu.com|https://facebook.com/24heures-Actu-1902793710007563|https://twitter.com/24Heures_Actu|https://twitter.com/24heuresactu|https://www.24heuresactu.com|https://www.facebook.com/24heures-Actu-1902793710007563|https://www.twitter.com/24Heures_Actu|https://www.twitter.com/24heuresactu,28,1560347022020,1560353699893,nationale,2010,1,media,false,france,true,110938,Counter-Informational Space,Identitarian,false,
6,AgoraVox,http://agoravox.com|http://agoravox.fr|http://agoravox.tv|http://facebook.com/agoravox|http://twitter.com/agoravox|http://www.agoravox.fr|http://www.facebook.com/agoravox|http://www.twitter.com/agoravox|https://agoravox.com|https://agoravox.fr|https://agoravox.tv|https://facebook.com/agoravox|https://twitter.com/agoravox|https://www.agoravox.com|https://www.agoravox.fr|https://www.agoravox.tv|https://www.facebook.com/agoravox|https://www.twitter.com/agoravox,http://www.agoravox.fr,http://agoravox.com|http://agoravox.fr|http://agoravox.tv|http://facebook.com/agoravox|http://twitter.com/agoravox|http://www.agoravox.fr|http://www.facebook.com/agoravox|http://www.twitter.com/agoravox|https://agoravox.com|https://agoravox.fr|https://agoravox.tv|https://facebook.com/agoravox|https://twitter.com/agoravox|https://www.agoravox.com|https://www.agoravox.fr|https://www.agoravox.tv|https://www.facebook.com/agoravox|https://www.twitter.com/agoravox,102,1560347022515,1560353699947,nationale,2005,1,media,false,france,true,58178|109246,Counter-Informational Space,Revolutionary Right,false,
7,Al-Kanz.org,http://al-kanz.fr|http://al-kanz.org|http://facebook.com/Al-Kanz-159659722813|http://twitter.com/AlKanz|http://twitter.com/Alkanz|http://twitter.com/alkanz|http://www.al-kanz.org|http://www.facebook.com/Al-Kanz-159659722813|http://www.twitter.com/AlKanz|http://www.twitter.com/Alkanz|http://www.twitter.com/alkanz|https://al-kanz.fr|https://al-kanz.org|https://facebook.com/Al-Kanz-159659722813|https://twitter.com/AlKanz|https://twitter.com/Alkanz|https://twitter.com/alkanz|https://www.al-kanz.fr|https://www.al-kanz.org|https://www.facebook.com/Al-Kanz-159659722813|https://www.twitter.com/AlKanz|https://www.twitter.com/Alkanz|https://www.twitter.com/alkanz,https://www.al-kanz.org,http://al-kanz.fr|http://al-kanz.org|http://facebook.com/Al-Kanz-159659722813|http://twitter.com/AlKanz|http://twitter.com/Alkanz|http://twitter.com/alkanz|http://www.al-kanz.org|http://www.facebook.com/Al-Kanz-159659722813|http://www.twitter.com/AlKanz|http://www.twitter.com/Alkanz|http://www.twitter.com/alkanz|https://al-kanz.fr|https://al-kanz.org|https://facebook.com/Al-Kanz-159659722813|https://twitter.com/AlKanz|https://twitter.com/Alkanz|https://twitter.com/alkanz|https://www.al-kanz.fr|https://www.al-kanz.org|https://www.facebook.com/Al-Kanz-159659722813|https://www.twitter.com/AlKanz|https://www.twitter.com/Alkanz|https://www.twitter.com/alkanz,29,1560347022966,1560353699994,nationale,2008,1,media,false,france,true,57439,Mainstream Media,Hyper-centre,false,
8,Alalumieredunouveaumonde.blogspot.com,http://alalumieredunouveaumonde.blogspot.ca|http://alalumieredunouveaumonde.blogspot.com|http://alalumieredunouveaumonde.blogspot.fr|http://www.alalumieredunouveaumonde.blogspot.com|https://alalumieredunouveaumonde.blogspot.ca|https://alalumieredunouveaumonde.blogspot.com|https://alalumieredunouveaumonde.blogspot.fr|https://www.alalumieredunouveaumonde.blogspot.com|https://www.alalumieredunouveaumonde.blogspot.fr,http://alalumieredunouveaumonde.blogspot.com,http://alalumieredunouveaumonde.blogspot.ca|http://alalumieredunouveaumonde.blogspot.com|http://alalumieredunouveaumonde.blogspot.fr|http://www.alalumieredunouveaumonde.blogspot.com|https://alalumieredunouveaumonde.blogspot.ca|https://alalumieredunouveaumonde.blogspot.com|https://alalumieredunouveaumonde.blogspot.fr|https://www.alalumieredunouveaumonde.blogspot.com|https://www.alalumieredunouveaumonde.blogspot.fr,8,1560347023480,1560353700849,nationale,2012,1,media,false,france,true,333186,Counter-Informational Space,Revolutionary Right,false,
9,Allodocteurs.fr,http://allodocteurs.fr|http://twitter.com/allodocteurs|http://www.allodocteurs.fr|http://www.twitter.com/allodocteurs|https://allodocteurs.fr|https://twitter.com/allodocteurs|https://www.allodocteurs.fr|https://www.twitter.com/allodocteurs,https://www.allodocteurs.fr,http://allodocteurs.fr|http://twitter.com/allodocteurs|http://www.allodocteurs.fr|http://www.twitter.com/allodocteurs|https://allodocteurs.fr|https://twitter.com/allodocteurs|https://www.allodocteurs.fr|https://www.twitter.com/allodocteurs,53,1560347023920,1560353700886,nationale,2005,1,media,false,france,false,282298,Periphery,Leisure and Health,false,
10,Alterinfo.net,http://alterinfo.net|http://facebook.com/FabricealterINFO|http://twitter.com/Alterinfo|http://www.alterinfo.net|http://www.facebook.com/FabricealterINFO|http://www.twitter.com/Alterinfo|https://alterinfo.net|https://facebook.com/FabricealterINFO|https://twitter.com/Alterinfo|https://www.alterinfo.net|https://www.facebook.com/FabricealterINFO|https://www.twitter.com/Alterinfo,http://www.alterinfo.net,http://alterinfo.net|http://facebook.com/FabricealterINFO|http://twitter.com/Alterinfo|http://www.alterinfo.net|http://www.facebook.com/FabricealterINFO|http://www.twitter.com/Alterinfo|https://alterinfo.net|https://facebook.com/FabricealterINFO|https://twitter.com/Alterinfo|https://www.alterinfo.net|https://www.facebook.com/FabricealterINFO|https://www.twitter.com/Alterinfo,47,1560347024317,1560353700927,nationale,2005,1,plateforme,false,france,true,125199,Counter-Informational Space,Alternative Health,,true
11,Alternativesante.fr,http://alternativesante.fr|http://facebook.com/alternativesante|http://twitter.com/altersante|http://www.alternativesante.fr|http://www.facebook.com/alternativesante|http://www.twitter.com/altersante|https://alternativesante.fr|https://facebook.com/alternativesante|https://twitter.com/altersante|https://www.alternativesante.fr|https://www.facebook.com/alternativesante|https://www.twitter.com/altersante,https://www.alternativesante.fr/,http://alternativesante.fr|http://facebook.com/alternativesante|http://twitter.com/altersante|http://www.alternativesante.fr|http://www.facebook.com/alternativesante|http://www.twitter.com/altersante|https://alternativesante.fr|https://facebook.com/alternativesante|https://twitter.com/altersante|https://www.alternativesante.fr|https://www.facebook.com/alternativesante|https://www.twitter.com/altersante,25,1560347024728,1560353705588,nationale,1997,1,media,false,france,false,724893,Counter-Informational Space,Alternative Health,true,
12,Antipresse.net,http://antipresse.net|http://antipresse.tumblr.com|http://facebook.com/antipresse|http://twitter.com/antipresse_net|http://www.antipresse.net|http://www.antipresse.tumblr.com|http://www.facebook.com/antipresse|http://www.twitter.com/antipresse_net|https://antipresse.net|https://antipresse.tumblr.com|https://facebook.com/antipresse|https://twitter.com/antipresse_net|https://www.antipresse.net|https://www.antipresse.tumblr.com|https://www.facebook.com/antipresse|https://www.twitter.com/antipresse_net,https://antipresse.net,http://antipresse.net|http://antipresse.tumblr.com|http://facebook.com/antipresse|http://twitter.com/antipresse_net|http://www.antipresse.net|http://www.antipresse.tumblr.com|http://www.facebook.com/antipresse|http://www.twitter.com/antipresse_net|https://antipresse.net|https://antipresse.tumblr.com|https://facebook.com/antipresse|https://twitter.com/antipresse_net|https://www.antipresse.net|https://www.antipresse.tumblr.com|https://www.facebook.com/antipresse|https://www.twitter.com/antipresse_net,17,1560347025137,1560353705813,nationale,2015,1,media,false,france,true,326415,Counter-Informational Space,Identitarian,true,
13,Arcturius.org,http://arcturius.org|http://facebook.com/michel.arcturius|http://twitter.com/MichelArcturius|http://www.arcturius.org|http://www.facebook.com/michel.arcturius|http://www.twitter.com/MichelArcturius|https://arcturius.org|https://facebook.com/michel.arcturius|https://twitter.com/MichelArcturius|https://www.arcturius.org|https://www.facebook.com/michel.arcturius|https://www.twitter.com/MichelArcturius,https://arcturius.org/,http://arcturius.org|http://facebook.com/michel.arcturius|http://twitter.com/MichelArcturius|http://www.arcturius.org|http://www.facebook.com/michel.arcturius|http://www.twitter.com/MichelArcturius|https://arcturius.org|https://facebook.com/michel.arcturius|https://twitter.com/MichelArcturius|https://www.arcturius.org|https://www.facebook.com/michel.arcturius|https://www.twitter.com/MichelArcturius,13,1560347025562,1560353706014,nationale,2017,1,individu,false,france,true,724889,Counter-Informational Space,Alternative Health,false,
14,artdevivresain.Over-Blog.com,http://artdevivresain.over-blog.com|http://www.artdevivresain.over-blog.com|https://artdevivresain.over-blog.com|https://www.artdevivresain.over-blog.com,http://artdevivresain.over-blog.com/,http://artdevivresain.over-blog.com|http://www.artdevivresain.over-blog.com|https://artdevivresain.over-blog.com|https://www.artdevivresain.over-blog.com,9,1560347025972,1560353706230,nationale,2018,1,individu,false,france,true,675267,Counter-Informational Space,Alternative Health,false,
15,Bastamag.net,http://bastamag.net|http://facebook.com/journalbasta|http://twitter.com/Bastamag|http://twitter.com/bastamag|http://www.bastamag.net|http://www.facebook.com/journalbasta|http://www.twitter.com/Bastamag|http://www.twitter.com/bastamag|https://bastamag.net|https://facebook.com/journalbasta|https://twitter.com/Bastamag|https://twitter.com/bastamag|https://www.bastamag.net|https://www.facebook.com/journalbasta|https://www.twitter.com/Bastamag|https://www.twitter.com/bastamag,http://www.bastamag.net,http://bastamag.net|http://facebook.com/journalbasta|http://twitter.com/Bastamag|http://twitter.com/bastamag|http://www.bastamag.net|http://www.facebook.com/journalbasta|http://www.twitter.com/Bastamag|http://www.twitter.com/bastamag|https://bastamag.net|https://facebook.com/journalbasta|https://twitter.com/Bastamag|https://twitter.com/bastamag|https://www.bastamag.net|https://www.facebook.com/journalbasta|https://www.twitter.com/Bastamag|https://www.twitter.com/bastamag,99,1560347026434,1560353712526,nationale,2008,1,media,false,france,true,113305,Opinion Journalism,Left Wing,false,
16,Bestsante.com,http://bestsante.com|http://www.bestsante.com|https://bestsante.com|https://www.bestsante.com,http://www.bestsante.com/,http://bestsante.com|http://www.bestsante.com|https://bestsante.com|https://www.bestsante.com,5,1560347026873,1560353712656,nationale,2015,1,media,false,france,true,724869,Periphery,Leisure and Health,,true
