Id,Label,Prefixes,Filters,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,total_tweets 2022,total_twitter_users 2022
358,Brut.media,brut.app|brut.live|brut.media|brut.medias,,676,430,651,6291,476,550,242,259,228,346,461,497,11107,8281
27,Radiofrance.fr,radiofrance-blogs.com|radiofrance-podcast.net|radiofrance.com|radiofrance.fr,radiofrance.fr/mouv|radiofrance.fr/francebleu|radiofrance.fr/franceinter|radiofrance.fr/francemusique|radiofrance.fr/franceculture|radiofrance.fr/fip|radiofrance.fr/franceinfo,1323,499,600,860,822,740,304,323,1918,1295,377,454,9515,5938
233,Tvl.fr,tvl.fr|tvlibertes.com,,10903,8260,8460,9354,6142,5789,7045,2790,7425,11849,5363,7917,91297,16698
311,Journaldesfemmes.fr,journaldesfemmes.com|journaldesfemmes.fr,,984,746,809,771,719,1241,756,1623,1004,706,632,862,10853,7304
98,Lanouvellerepublique.fr,lanouvellerepublique.com|lanouvellerepublique.fr,,7960,7986,8208,6093,8174,6882,5065,6344,7996,4523,3237,6373,78841,25380
65099,jeminformetv.Wordpress.com,jeminformetv.com|jeminformetv.wordpress.com,,1098,746,1490,963,2311,690,1032,3837,759,2806,5757,3471,24960,8319
249158,Radiofrance.fr /mouv,lemouv.fr|mouv.fr|radiofrance.fr/mouv,,676,679,848,644,559,443,254,328,357,505,338,217,5848,2940
41,Europe1.fr,eur1.fr|europe1.fr,,35957,36711,30888,33580,26468,18237,16813,24495,22072,19326,24739,16326,305612,76090
9,Ouest-France.fr,footamateur.fr|ouest-france.fr,,82136,74256,92683,77692,78663,86936,67636,80707,73571,72018,63767,77920,927985,143180
4,Francetvinfo.fr,franceinfo.fr|francetvinfo.fr|franceinfo,,435281,385579,420747,370918,393700,345098,323008,321795,306118,315298,303132,263033,4183707,436826
17,Francebleu.fr,francebleu.fr|radiofrance.fr/francebleu,,69928,67326,62082,41591,46616,56291,50553,48390,44554,63252,55103,52677,658363,131983
133,Guyboulianne.info,guyboulianne.com|guyboulianne.info,,7620,5459,3093,5203,5887,2725,3635,4978,5033,6618,6304,4780,61335,16951
83,Alternatives-Economiques.fr,altereco.media|alternatives-economiques.fr,,14651,6912,12862,8196,8132,16512,7067,8653,7692,7479,4180,7677,110013,34923
181,Francemediasnumerique.net,francemediasnumerique.com|francemediasnumerique.net,,17712,6904,6928,3833,5925,1806,2306,4210,816,121,229,2089,52879,15515
249566,Traficalert.fr,traficalert.fr|traficalert.me,,4697,4931,5697,5354,5781,5849,5649,4893,4788,6585,6234,6035,66493,189
13,Tf1Info.fr,lci.fr|tf1info.fr,,52226,43274,72251,63573,71016,65358,63646,65361,66420,96250,53197,70498,783070,147533
768,Elishean777.com,elishean.fr|elishean.org|elishean777.com,,617,290,1524,270,301,231,183,150,233,215,200,162,4376,1739
249120,Radiofrance.fr /franceinter,franceinter.fr|radiofrance.fr/franceinter,,48239,44371,76542,49006,61365,41666,44980,34302,40274,34090,26897,28269,530001,147697
249123,Radiofrance.fr /francemusique,francemusique.fr|radiofrance.fr/francemusique,,8807,6977,9669,7624,7509,5425,6200,5715,7011,7236,6753,6615,85541,11196
55,Rfi.fr,rfi.fr,,18443,14906,15947,10066,15545,25656,26070,28284,19070,11150,9715,9183,204035,67975
249108,Radiofrance.fr /franceculture,franceculture.com|franceculture.fr|radiofrance.fr/franceculture,,56806,48732,50045,51631,48489,43386,43750,33153,42587,43501,43913,39362,545355,113960
249146,Radiofrance.fr /fip,fip.fr|radiofrance.fr/fip,,2275,2254,2528,2612,2494,2246,2191,2506,2537,2464,2350,2473,28930,2674
24,20Minutes.fr,20min.fr|20minutes.fr,,41742,47712,45523,29479,37023,45740,37588,32050,36302,49832,34516,45547,483054,106581
777,Kulturegeek.fr,kgeek.co|kulturegeek.fr,,2368,1389,1353,1179,1330,1355,1649,1737,1390,1110,1129,1025,17014,3409
519,Jovanovic.com,jovanovic.com|quotidien.com,,1564,1719,1302,1863,1280,827,1237,777,1113,1087,1265,1935,15969,4254
150,Boursorama.com,bour.so|boursorama.com,,5132,4770,6027,3990,5400,4637,3794,5102,7009,5285,4706,3049,58901,14854
