Id,Label,Prefixes,Filters
358,Brut.media,brut.app|brut.live|brut.media|brut.medias,
27,Radiofrance.fr,radiofrance-blogs.com|radiofrance-podcast.net|radiofrance.com|radiofrance.fr,radiofrance.fr/mouv|radiofrance.fr/francebleu|radiofrance.fr/franceinter|radiofrance.fr/francemusique|radiofrance.fr/franceculture|radiofrance.fr/fip|radiofrance.fr/franceinfo
233,Tvl.fr,tvl.fr|tvlibertes.com,
311,Journaldesfemmes.fr,journaldesfemmes.com|journaldesfemmes.fr,
98,Lanouvellerepublique.fr,lanouvellerepublique.com|lanouvellerepublique.fr,
65099,jeminformetv.Wordpress.com,jeminformetv.com|jeminformetv.wordpress.com,
249158,Radiofrance.fr /mouv,lemouv.fr|mouv.fr|radiofrance.fr/mouv,
41,Europe1.fr,eur1.fr|europe1.fr,
9,Ouest-France.fr,footamateur.fr|ouest-france.fr,
4,Francetvinfo.fr,franceinfo.fr|francetvinfo.fr|franceinfo,
17,Francebleu.fr,francebleu.fr|radiofrance.fr/francebleu,
133,Guyboulianne.info,guyboulianne.com|guyboulianne.info,
83,Alternatives-Economiques.fr,altereco.media|alternatives-economiques.fr,
181,Francemediasnumerique.net,francemediasnumerique.com|francemediasnumerique.net,
249566,Traficalert.fr,traficalert.fr|traficalert.me,
13,Tf1Info.fr,lci.fr|tf1info.fr,
768,Elishean777.com,elishean.fr|elishean.org|elishean777.com,
249120,Radiofrance.fr /franceinter,franceinter.fr|radiofrance.fr/franceinter,
249123,Radiofrance.fr /francemusique,francemusique.fr|radiofrance.fr/francemusique,
55,Rfi.fr,rfi.fr,
249108,Radiofrance.fr /franceculture,franceculture.com|franceculture.fr|radiofrance.fr/franceculture,
249146,Radiofrance.fr /fip,fip.fr|radiofrance.fr/fip,
24,20Minutes.fr,20min.fr|20minutes.fr,
777,Kulturegeek.fr,kgeek.co|kulturegeek.fr,
519,Jovanovic.com,jovanovic.com|quotidien.com,
150,Boursorama.com,bour.so|boursorama.com,
49135,Imazpress.com,imazpress.com|ipreunion.com,
234,Rugbyrama.fr,midi-olympique.fr|rugbyrama.fr,
44807,Themedialeader.fr,offremedia.com|themedialeader.fr,
59,France24.com,france24.com,
103,I24News.tv,i24ne.ws|i24news.tv,
31391,Decideurs-Magazine.com,decideurs-magazine.com|magazine-decideurs.com,
249000,olplay.Ol.fr,olplay.fr|olplay.ol.fr,
255812,motorsport.Nextgen-Auto.com /fr,motorsport.nextgen-auto.com/fr,
14498,Luniversims.fr,luniversims.com|luniversims.fr,
248796,Mind.eu.com /media,mind.eu.com/media|mindmedia.fr,
20150,Boualemetsteph.fr,boualemetsteph.fr,
